INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Palo Bajo', '71 ', '294 ', 'NUEVA TENOCHTITLAN', 'GUSTAVO A. MADERO', '11998');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Calle 8', '155 ', '45 ', 'EJIDOS DE SAN PEDRO MARTIR I (NORTE)', 'TLALPAN', '13813');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Victoria', '228 ', '276 ', 'SANTA CRUZ DE LAS SALINAS', 'AZCAPOTZALCO', '11139');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Zopilote mojado', '232 ', '153 ', 'GERTRUDIS SANCHEZ 1A SECCION', 'GUSTAVO A. MADERO', '16714');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Calle 9', '27 ', '167 ', 'GUADALUPE VICTORIA', 'GUSTAVO A. MADERO', '17053');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Iturbide', '121 ', '77 ', 'LOMAS DE CHAPULTEPEC', 'MIGUEL HIDALGO', '11118');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Francisco I. Madero', '85 ', '124 ', 'REFORMA PENSIL', 'MIGUEL HIDALGO', '13441');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Piedra del Comal', '6 ', '277 ', 'CAMPESTRE ARAGON I', 'GUSTAVO A. MADERO', '11031');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Iturbide', '219 ', '158 ', 'SAN PABLO OZTOTEPEC (PBLO)', 'MILPA ALTA', '18957');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Juan Sin Miedo', '178 ', '180 ', 'LOMAS DE PLATEROS (U HAB) II', 'ALVARO OBREGON', '17165');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Salsipuedes', '138 ', '187 ', 'AIDEE SOLS CRDENAS-MATAS ROMERO (U HAB)', 'GUSTAVO A. MADERO', '11782');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Horacio', '47 ', '148 ', 'CALTONGO (BARR)', 'XOCHIMILCO', '16085');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Tlalpan', '122 ', '44 ', 'COLINAS DEL BOSQUE-LAS TORTOLAS', 'TLALPAN', '11166');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Marcel Proust', '156 ', '240 ', 'MORELOS I', 'CUAUHTEMOC', '11626');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Calle 4', '272 ', '289 ', 'EL EDEN', 'IZTAPALAPA', '12791');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Rayando el sol', '104 ', '248 ', 'VALLEJO II', 'GUSTAVO A. MADERO', '14331');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('California', '261 ', '115 ', 'CASTILLO GRANDE', 'GUSTAVO A. MADERO', '13367');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Madrid', '239 ', '37 ', 'SAN PEDRO ATOCPAN (PBLO)', 'MILPA ALTA', '18680');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('José Fourier', '172 ', '220 ', 'XALPA I', 'IZTAPALAPA', '10861');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Centenario', '141 ', '183 ', 'EUZKADI', 'AZCAPOTZALCO', '17658');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Libertad', '61 ', '231 ', 'SEARS ROEBUCK (U HAB)', 'ALVARO OBREGON', '15024');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Calle 19', '224 ', '57 ', 'CENTRO I', 'CUAUHTEMOC', '18968');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Manzanares', '59 ', '34 ', 'SIMON  BOLIVAR', 'VENUSTIANO CARRANZA', '19145');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Cerveza Noche Buena', '213 ', '174 ', 'LA PASTORA', 'GUSTAVO A. MADERO', '18293');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Rayando el sol', '63 ', '144 ', 'SAN MIGUEL TOPILEJO (PBLO)', 'TLALPAN', '19821');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('16 de septiembre', '189 ', '245 ', 'TORRES LINDAVISTA (FRACC)', 'GUSTAVO A. MADERO', '15135');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Alberto Einstein', '104 ', '158 ', 'INFONAVIT CULHUACAN ZONA 3 (U HAB)', 'COYOACAN', '15619');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('República de Cuba', '282 ', '195 ', 'CENTRO URBANO TLALPAN (U HAB)', 'COYOACAN', '15699');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Ejes viales', '3 ', '81 ', 'JAIME TORRES BODET', 'TLAHUAC', '14166');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Calle 15', '216 ', '110 ', 'LOS ANGELES', 'IZTAPALAPA', '12073');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Independencia', '57 ', '239 ', 'GENERAL PEDRO MARIA ANAYA', 'BENITO JUAREZ', '11365');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Maremoto', '77 ', '87 ', 'ACUILOTLA', 'ALVARO OBREGON', '17887');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Álvaro Obregón', '172 ', '55 ', 'BARRANCA SECA', 'LA MAGDALENA CONTRERAS', '10155');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Calle de la Amargura', '46 ', '168 ', 'LOMAS DE SAN JUAN IXHUATEPEC (2A SECCION)', 'GUSTAVO A. MADERO', '15138');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Plaza Manuel Gamio', '75 ', '255 ', 'QUIAHUATLA', 'TLAHUAC', '15955');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Calle 22', '293 ', '124 ', 'ANAHUAC DOS LAGOS', 'MIGUEL HIDALGO', '14165');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Tamaulipas', '270 ', '252 ', 'SAN LUCAS XOCHIMANCA (PBLO)', 'XOCHIMILCO', '18524');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Calle 3', '21 ', '3 ', 'MIRADOR DEL VALLE', 'TLALPAN', '10901');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('México', '103 ', '112 ', 'SAN MIGUEL AJUSCO (PBLO)', 'TLALPAN', '15822');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Agustín Cauchy', '136 ', '51 ', 'LOMAS DE SANTO DOMINGO (AMPL)', 'ALVARO OBREGON', '17809');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Insurgentes', '47 ', '28 ', 'UNIDADES HABITACIONALES DE SANTA ANA PONIENTE I', 'TLAHUAC', '16907');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Adán Smith', '210 ', '242 ', 'ALCANTARILLA', 'ALVARO OBREGON', '18584');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Carlos Marx', '139 ', '93 ', 'SAN BARTOLO EL CHICO', 'XOCHIMILCO', '11724');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('República de Cuba', '29 ', '187 ', 'NATIVITAS LA JOYA (AMPL)', 'XOCHIMILCO', '12479');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('los Misterios', '128 ', '168 ', 'DR ALFONSO ORTIZ TIRADO', 'IZTAPALAPA', '15160');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Palo Bajo', '89 ', '3 ', 'ISSFAM LAS ARMAS (U HAB)', 'AZCAPOTZALCO', '19085');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Calle 14', '7 ', '45 ', 'POPULAR RASTRO', 'VENUSTIANO CARRANZA', '16480');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Pachuca', '71 ', '169 ', 'PEDREGAL DE SN NICOLAS 2A SECC', 'TLALPAN', '12513');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Morelos', '219 ', '150 ', 'SAN JOSE INSURGENTES', 'BENITO JUAREZ', '16081');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Calle 6', '9 ', '103 ', 'PILOTO CULHUACAN (U HAB)', 'COYOACAN', '18466');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Marcel Proust', '270 ', '95 ', 'CAMPAMENTO 2 DE OCTUBRE II', 'IZTACALCO', '15489');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Roger Penrose', '262 ', '169 ', 'ACUEDUCTO DE GUADALUPE (RDCIAL)', 'GUSTAVO A. MADERO', '19111');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Santa Ana', '172 ', '209 ', 'LA CANDELARIA TICOMAN (BARR)', 'GUSTAVO A. MADERO', '11131');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Alberto Einstein', '257 ', '9 ', 'PAULINO NAVARRO', 'CUAUHTEMOC', '15351');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Ignacio Zaragoza', '144 ', '76 ', '5 DE MAYO', 'MIGUEL HIDALGO', '18571');
INSERT INTO domicilio(calle,numerointerior,numeroexterior,colonia,delegacion,codigopostal) VALUES ('Calle 21', '214 ', '175 ', 'OBRERA IV', 'CUAUHTEMOC', '15372');
